Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
propanoic aciid,chemical,LACTOPHOSPHORIC ACID,XBDQKXXYIPTUBI-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1032,1032,https://pubchem.ncbi.nlm.nih.gov/compound/1032,CHEMBL2111170,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2111170/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(O)C(=O)OP(=O)(O)O', 'CCC(=O)O'}",
butryic acid,chemical,BUTANOIC ACID,FERIUCNNQQJTOY-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/264,264,https://pubchem.ncbi.nlm.nih.gov/compound/264,CHEMBL14227,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL14227/,,,,,,,,,,,,,,,,
valericc acid,chemical,VALERIC ACID,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/NQPDZGIKBAWPEJ-UHFFFAOYSA-N,CCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/7991,7991,https://pubchem.ncbi.nlm.nih.gov/compound/7991,CHEMBL268736,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL268736/,,,,,,,,,,,,,,,,
caproic accid,chemical,,FUZZWVXGSFPDMH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FUZZWVXGSFPDMH-UHFFFAOYSA-N,CCCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/8892,8892,https://pubchem.ncbi.nlm.nih.gov/compound/8892,CHEMBL3913375,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3913375/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCCC(=O)O', 'CCCCCC(=O)[O-].[K+]'}",
succinicc acid,chemical,SUCCINIC ACID,KDYFGRWQOYBRFD-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1110,1110,https://pubchem.ncbi.nlm.nih.gov/compound/1110,CHEMBL576,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL576/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(CC(=O)O)C(=O)O', 'O=C(O)CCC(=O)O'}",
oxalacettic acid,chemical,OXALOACETATE,KHPXUQMNIQBQEV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/KHPXUQMNIQBQEV-UHFFFAOYSA-N,C(C(=O)C(=O)O)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/970,970,https://pubchem.ncbi.nlm.nih.gov/compound/970,CHEMBL1794791,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1794791/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)CC(=O)C(=O)O', 'C(C(=O)C(=O)O)C(=O)O'}",
acetoaccetic acid,chemical,,WDJHALXBUFZDSR-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/WDJHALXBUFZDSR-UHFFFAOYSA-N,CC(=O)CC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/96,96,https://pubchem.ncbi.nlm.nih.gov/compound/96,CHEMBL51979,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL51979/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(=O)CC(=O)O', 'O=C(O)CCC(=O)NO'}",
alpha-linolennic acid,chemical,LINOLENIC ACID,DTOSIQBPPRVQHS-PDBXOOCHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DTOSIQBPPRVQHS-PDBXOOCHSA-N,CCC=CCC=CCC=CCCCCCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5280934,5280934,https://pubchem.ncbi.nlm.nih.gov/compound/5280934,CHEMBL8739,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL8739/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC/C=C\\C/C=C\\C/C=C\\CCCCCCCC(=O)O', 'CCC=CCC=CCC=CCCCCCCCC(=O)O'}",
eicosapenntaenoic acid,chemical,ICOSAPENT,JAZBEHYOTPTENJ-JLNKQSITSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/JAZBEHYOTPTENJ-JLNKQSITSA-N,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/446284,446284,https://pubchem.ncbi.nlm.nih.gov/compound/446284,CHEMBL460026,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL460026/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O', 'CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O'}",
docosahexxaenoic acid,chemical,DOCONEXENT,MBMBGCFOFBJSGT-KUBAVDMBSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/MBMBGCFOFBJSGT-KUBAVDMBSA-N,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/445580,445580,https://pubchem.ncbi.nlm.nih.gov/compound/445580,CHEMBL367149,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL367149/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCC(=O)O', 'CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O'}",
galactosamine,chemical,URACIL DIPHOSPHATE GALACTOSAMINE,MSWZFWKMSRAUBD-GASJEMHNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/MSWZFWKMSRAUBD-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)N)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/24154,24154,https://pubchem.ncbi.nlm.nih.gov/compound/24154,CHEMBL2092918,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2092918/,,,,,,,,,,,,,,,"SMILES mismatch: {'N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O', 'C(C1C(C(C(C(O1)O)N)O)O)O'}",
deoxyrybose,chemical,,ASJSAQIRZKANQN-CRCLSJGQSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/ASJSAQIRZKANQN-CRCLSJGQSA-N,C(C=O)C(C(CO)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5460005,5460005,https://pubchem.ncbi.nlm.nih.gov/compound/5460005,CHEMBL4203642,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4203642/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C=O)C(C(CO)O)O', 'OC[C@H]1O[C@@H](n2ccc3cc(C4CCCCC4)ccc32)[C@H](O)[C@@H]1O'}",
hydroxyureaa,chemical,HYDROXYUREA,VSNHCAURESNICA-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/VSNHCAURESNICA-UHFFFAOYSA-N,C(=O)(N)NO,https://pubchem.ncbi.nlm.nih.gov/compound/3657,3657,https://pubchem.ncbi.nlm.nih.gov/compound/3657,CHEMBL467,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL467/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(=O)(N)NO', 'NC(=O)NO'}",
adenosin mono phsphate,chemical,,UDMBCSSLTHHNCD-KQYNXXCUSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/UDMBCSSLTHHNCD-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/6083,6083,https://pubchem.ncbi.nlm.nih.gov/compound/6083,CHEMBL603764,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL603764/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O'}",
cytidne,chemical,,UHDGCWIWMRVCDJ-XVFCMESISA-N,https://pubchem.ncbi.nlm.nih.gov/compound/UHDGCWIWMRVCDJ-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/6175,6175,https://pubchem.ncbi.nlm.nih.gov/compound/6175,CHEMBL3559612,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3559612/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O', 'Cc1c2cc[n+](C)cc2c(C)c2c3c([nH]c12)C=CC(=O)[C@@]31O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1ccc(N)nc1=O'}",
phosophocreatinee,chemical,,DRBBFCLWYRJSJZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DRBBFCLWYRJSJZ-UHFFFAOYSA-N,CN(CC(=O)O)C(=NP(=O)(O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/9548602,9548602,https://pubchem.ncbi.nlm.nih.gov/compound/9548602,CHEMBL8056,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL8056/,,,,,,,,,,,,,,,"SMILES mismatch: {'CN(CC(=O)O)C(=NP(=O)(O)O)N', 'CN(CC(=O)O)C(=N)CP(=O)([O-])[O-].[Na+].[Na+]'}",
sphingomylin,chemical,,LKQLRGMMMAHREN-NWBJSICCSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/LKQLRGMMMAHREN-NWBJSICCSA-N,CCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O,https://pubchem.ncbi.nlm.nih.gov/compound/5353953,5353953,https://pubchem.ncbi.nlm.nih.gov/compound/5353953,CHEMBL4526394,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4526394/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O', 'CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCC'}",
phosphatdylserine,chemical,,TZCPCKNHXULUIY-RGULYWFUSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/TZCPCKNHXULUIY-RGULYWFUSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC,https://pubchem.ncbi.nlm.nih.gov/compound/9547096,9547096,https://pubchem.ncbi.nlm.nih.gov/compound/9547096,CHEMBL3350680,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3350680/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC', 'CCCCCCCC/C=C\\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C/CCCCCCCC)COP(=O)(O)OC[C@H](Nc1ccc([N+](=O)[O-])c2nonc12)C(=O)O'}",
inosinne,chemical,INOSINE PRANOBEX,UGQMRVRMYYASKQ-KQYNXXCUSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/135398641,135398641,https://pubchem.ncbi.nlm.nih.gov/compound/135398641,CHEMBL3833327,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3833327/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O', 'C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O'}",
benzpyrene,chemical,benzo[a]pyrene,FMMWHPNWAFZXNH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FMMWHPNWAFZXNH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/2336,2336,https://pubchem.ncbi.nlm.nih.gov/compound/2336,CHEMBL31184,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL31184/,,,,,,,,,,,,,,,,
carboxlyic acid,chemical,,DGNYADVSOUQAEQ-LCFNMQHZSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DGNYADVSOUQAEQ-LCFNMQHZSA-N,CC1(C(NC(S1)C(C=O)(NC(=O)C(C2=CSC=C2)C(=O)O)OC)C(=O)O)C,https://pubchem.ncbi.nlm.nih.gov/compound/145946138,145946138,https://pubchem.ncbi.nlm.nih.gov/compound/145946138,CHEMBL1908958,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1908958/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)C12C3C4C1C1C2C3C41I', 'CC1(C(NC(S1)C(C=O)(NC(=O)C(C2=CSC=C2)C(=O)O)OC)C(=O)O)C'}",
pantotennate,chemical,CALCIUM PANTOTHENATE,GHOKWGTUZJEAQD-ZETCQYMHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/GHOKWGTUZJEAQD-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCC(=O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/6613,6613,https://pubchem.ncbi.nlm.nih.gov/compound/6613,CHEMBL1901349,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1901349/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(C)(CO)C(C(=O)NCCC(=O)O)O', 'CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2]'}",
ribullose,chemical,,ZAQJHHRNXZUBTE-NQXXGFSBSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/ZAQJHHRNXZUBTE-NQXXGFSBSA-N,C(C(C(C(=O)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/151261,151261,https://pubchem.ncbi.nlm.nih.gov/compound/151261,CHEMBL1161704,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1161704/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(=O)[C@@H](O)[C@@H](O)COP(=O)(O)O', 'C(C(C(C(=O)CO)O)O)O'}",
sodum lactate,chemical,SODIUM LACTATE,NGSFWBMYFKHRBD-UHFFFAOYSA-M,https://pubchem.ncbi.nlm.nih.gov/compound/NGSFWBMYFKHRBD-UHFFFAOYSA-M,CC(C(=O)[O-])O.[Na+],https://pubchem.ncbi.nlm.nih.gov/compound/23666456,23666456,https://pubchem.ncbi.nlm.nih.gov/compound/23666456,CHEMBL1357,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1357/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(C(=O)[O-])O.[Na+]', 'CC(O)C(=O)[O-].[Na+]'}",
mannnitol,chemical,MANNITOL,FBPFZTCFMRRESA-KVTDHHQDSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FBPFZTCFMRRESA-KVTDHHQDSA-N,C(C(C(C(C(CO)O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/6251,6251,https://pubchem.ncbi.nlm.nih.gov/compound/6251,CHEMBL689,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL689/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C(C(C(CO)O)O)O)O)O', 'OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO'}",
phenyllactic acid,chemical,,NWCHELUCVWSRRS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/NWCHELUCVWSRRS-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C(=O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1303,1303,https://pubchem.ncbi.nlm.nih.gov/compound/1303,CHEMBL1778420,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1778420/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)C(O)Cc1ccccc1', 'CC(C1=CC=CC=C1)(C(=O)O)O'}",
glutathion,chemical,OXIDIZED GLUTATHIONE,RWSXRVCMGQZWBV-WDSKDSINSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/RWSXRVCMGQZWBV-WDSKDSINSA-N,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/124886,124886,https://pubchem.ncbi.nlm.nih.gov/compound/124886,CHEMBL2074781,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2074781/,,,,,,,,,,,,,,,"SMILES mismatch: {'N[C@@H](CCC(=O)C[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O', 'C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N'}",
Methanolle,chemical,METHYL ALCOHOL,OKKJLVBELUTLKV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,https://pubchem.ncbi.nlm.nih.gov/compound/887,887,https://pubchem.ncbi.nlm.nih.gov/compound/887,CHEMBL14688,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL14688/,,,,,,,,,,,,,,,,
Xylenne,chemical,O-XYLENE,CTQNGGLPUBDAKN-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/CTQNGGLPUBDAKN-UHFFFAOYSA-N,CC1=CC=CC=C1C,https://pubchem.ncbi.nlm.nih.gov/compound/7237,7237,https://pubchem.ncbi.nlm.nih.gov/compound/7237,CHEMBL45005,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL45005/,,,,,,,,,,,,,,,"SMILES mismatch: {'Cc1ccccc1C', 'CC1=CC=CC=C1C'}",
Styrenee,chemical,STYRENE,PPBRXRYQALVLMV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/PPBRXRYQALVLMV-UHFFFAOYSA-N,C=CC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/7501,7501,https://pubchem.ncbi.nlm.nih.gov/compound/7501,CHEMBL285235,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL285235/,,,,,,,,,,,,,,,"SMILES mismatch: {'C=Cc1ccccc1', 'C=CC1=CC=CC=C1'}",
Chloroformm,chemical,chloroform,HEDRZPFGACZZDS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/HEDRZPFGACZZDS-UHFFFAOYSA-N,C(Cl)(Cl)Cl,https://pubchem.ncbi.nlm.nih.gov/compound/6212,6212,https://pubchem.ncbi.nlm.nih.gov/compound/6212,,,,,,,,,,,,,,,,,,
Hexanee,chemical,HEXANE,VLKZOEOYAKHREP-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,https://pubchem.ncbi.nlm.nih.gov/compound/8058,8058,https://pubchem.ncbi.nlm.nih.gov/compound/8058,CHEMBL15939,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL15939/,,,,,,,,,,,,,,,,
Ethanul,chemical,ALCOHOL,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,https://pubchem.ncbi.nlm.nih.gov/compound/702,702,https://pubchem.ncbi.nlm.nih.gov/compound/702,CHEMBL545,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL545/,,,,,,,,,,,,,,,,
carnittine,chemical,CARNITINE,PHIQHXFUZVPYII-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/PHIQHXFUZVPYII-UHFFFAOYSA-N,C[N+](C)(C)CC(CC(=O)[O-])O,https://pubchem.ncbi.nlm.nih.gov/compound/288,288,https://pubchem.ncbi.nlm.nih.gov/compound/288,CHEMBL172513,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL172513/,,,,,,,,,,,,,,,"SMILES mismatch: {'C[N+](C)(C)CC(CC(=O)[O-])O', 'C[N+](C)(C)CC(O)CC(=O)[O-]'}",
ethanollamine,chemical,ETHANOLAMINE OLEATE,HZAXFHJVJLSVMW-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/HZAXFHJVJLSVMW-UHFFFAOYSA-N,C(CO)N,https://pubchem.ncbi.nlm.nih.gov/compound/700,700,https://pubchem.ncbi.nlm.nih.gov/compound/700,CHEMBL3989529,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989529/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCCCCC/C=C\\CCCCCCCC(=O)O.NCCO', 'C(CO)N'}",
lysophoatidylcholine,chemical,,RYCNUMLMNKHWPZ-SNVBAGLBSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/RYCNUMLMNKHWPZ-SNVBAGLBSA-N,CC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,https://pubchem.ncbi.nlm.nih.gov/compound/5311264,5311264,https://pubchem.ncbi.nlm.nih.gov/compound/5311264,CHEMBL5431567,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5431567/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCCC/C=C\\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C', 'CC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O'}",
thiaminn,chemical,,JZRWCGZRTZMZEH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,https://pubchem.ncbi.nlm.nih.gov/compound/1130,1130,https://pubchem.ncbi.nlm.nih.gov/compound/1130,CHEMBL3559441,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3559441/,,,,,,,,,,,,,,,"SMILES mismatch: {'COc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)(O)O)c2C)c(N)n1', 'CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO'}",
pyrdoxine,chemical,PYRIDOXINE,LXNHXLLTXMVWPM-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CO)CO,https://pubchem.ncbi.nlm.nih.gov/compound/1054,1054,https://pubchem.ncbi.nlm.nih.gov/compound/1054,CHEMBL1364,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1364/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC1=NC=C(C(=C1O)CO)CO', 'Cc1ncc(CO)c(CO)c1O'}",
biottin,chemical,BIOTIN,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,https://pubchem.ncbi.nlm.nih.gov/compound/171548,171548,https://pubchem.ncbi.nlm.nih.gov/compound/171548,CHEMBL857,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL857/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21', 'C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2'}",
riboflvin,chemical,RIBOFLAVIN,AUNGANRZJHBGPY-SCRDCRAPSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/AUNGANRZJHBGPY-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/493570,493570,https://pubchem.ncbi.nlm.nih.gov/compound/493570,CHEMBL1534,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1534/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O', 'Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C'}",
pantothenic aciid,chemical,PANTOTHENIC ACID,GHOKWGTUZJEAQD-ZETCQYMHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/GHOKWGTUZJEAQD-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCC(=O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/6613,6613,https://pubchem.ncbi.nlm.nih.gov/compound/6613,CHEMBL1594,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1594/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(C)(CO)C(C(=O)NCCC(=O)O)O', 'CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O'}",
ubiquinoon,chemical,Coenzyme Q1,ACTIUHUUMQJHFO-UPTCCGCDSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/ACTIUHUUMQJHFO-UPTCCGCDSA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/5281915,5281915,https://pubchem.ncbi.nlm.nih.gov/compound/5281915,CHEMBL1236594,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1236594/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C', 'COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O'}",
cytochrome c oxidse,protein,Cytochrome c oxidase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2991304542,,,Q01519,https://www.uniprot.org/uniprot/Q01519,,cd00926,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00926/,,
