Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
nicotnamide,chemical,NIACINAMIDE,DFPAKSUCGFBDDF-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DFPAKSUCGFBDDF-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)N,https://pubchem.ncbi.nlm.nih.gov/compound/936,936,https://pubchem.ncbi.nlm.nih.gov/compound/936,CHEMBL1140,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1140/,,,,,,,,,,,,,,,"SMILES mismatch: {'NC(=O)c1cccnc1', 'C1=CC(=CN=C1)C(=O)N'}",
phenyalalanine,chemical,PHENYLALANINE,COLNVLDHVKWLRT-QMMMGPOBSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)CC(C(=O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/6140,6140,https://pubchem.ncbi.nlm.nih.gov/compound/6140,CHEMBL301523,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL301523/,,,,,,,,,,,,,,,"SMILES mismatch: {'N[C@@H](Cc1ccccc1)C(=O)O', 'C1=CC=C(C=C1)CC(C(=O)O)N'}",
deoxyguanoine,chemical,,YKBGVTZYEHREMT-KVQBGUIXSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/YKBGVTZYEHREMT-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O,https://pubchem.ncbi.nlm.nih.gov/compound/135398592,135398592,https://pubchem.ncbi.nlm.nih.gov/compound/135398592,CHEMBL1232205,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1232205/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O', 'Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1'}",
ascorbbic acid,chemical,ASCORBIC ACID,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C(C(C1C(=C(C(=O)O1)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,54670067,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,CHEMBL196,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL196/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C1C(=C(C(=O)O1)O)O)O)O', 'O=C1O[C@H]([C@@H](O)CO)C(O)=C1O'}",
malonnate,chemical,,OFOBLEOULBTSOW-UHFFFAOYSA-L,https://pubchem.ncbi.nlm.nih.gov/compound/OFOBLEOULBTSOW-UHFFFAOYSA-L,C(C(=O)[O-])C(=O)[O-],https://pubchem.ncbi.nlm.nih.gov/compound/9084,9084,https://pubchem.ncbi.nlm.nih.gov/compound/9084,CHEMBL5483028,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5483028/,,,,,,,,,,,,,,,"SMILES mismatch: {'Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1.O=C(O)CC(=O)O', 'C(C(=O)[O-])C(=O)[O-]'}",
citratee,chemical,ENCLOMIPHENE CITRATE,KRKNYBCHXYNGOX-UHFFFAOYSA-K,https://pubchem.ncbi.nlm.nih.gov/compound/KRKNYBCHXYNGOX-UHFFFAOYSA-K,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,https://pubchem.ncbi.nlm.nih.gov/compound/31348,31348,https://pubchem.ncbi.nlm.nih.gov/compound/31348,CHEMBL1200667,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200667/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O', 'C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O'}",
fumaratte,chemical,FERROUS FUMARATE,VZCYOOQTPOCHFL-OWOJBTEDSA-L,https://pubchem.ncbi.nlm.nih.gov/compound/VZCYOOQTPOCHFL-OWOJBTEDSA-L,C(=CC(=O)[O-])C(=O)[O-],https://pubchem.ncbi.nlm.nih.gov/compound/5460307,5460307,https://pubchem.ncbi.nlm.nih.gov/compound/5460307,CHEMBL1200640,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200640/,,,,,,,,,,,,,,,,
aminoacettic acid,chemical,GLYCINE,DHMQDGOQFOQNFH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/750,750,https://pubchem.ncbi.nlm.nih.gov/compound/750,CHEMBL773,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL773/,,,,,,,,,,,,,,,"SMILES mismatch: {'NCC(=O)O', 'C(C(=O)O)N'}",
uracill,chemical,URACIL,ISAKRJDGNUQOIC-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/ISAKRJDGNUQOIC-UHFFFAOYSA-N,C1=CNC(=O)NC1=O,https://pubchem.ncbi.nlm.nih.gov/compound/1174,1174,https://pubchem.ncbi.nlm.nih.gov/compound/1174,CHEMBL566,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL566/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=c1cc[nH]c(=O)[nH]1', 'C1=CNC(=O)NC1=O'}",
ornithinee,chemical,ORNITHINE,AHLPHDHHMVZTML-BYPYZUCNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/AHLPHDHHMVZTML-BYPYZUCNSA-N,C(CC(C(=O)O)N)CN,https://pubchem.ncbi.nlm.nih.gov/compound/6262,6262,https://pubchem.ncbi.nlm.nih.gov/compound/6262,CHEMBL446143,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL446143/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(CC(C(=O)O)N)CN', 'NCCC[C@H](N)C(=O)O'}",
